Temperature,Zoospores,Study
19.5,0,"Kriger2007Zoology"
14.7,96,"Kriger2007Zoology"
19.2,74,"Kriger2007Zoology"
20.1,170,"Kriger2007"
22.2,100,"Kriger2007Zoology"
21,0,"Kriger2007Zoology"
18,794,"Kriger2007Zoology"
15.8,12462,"Kriger2007Zoology"
12.3,1995,"Kriger2007Zoology"
12.6,372,"Kriger2007Zoology"
15.9,955,"Kriger2007Zoology"
19.5,11,"Kriger2007Zoology"
22.4,65,"Kriger2007Zoology"
26.7,62,"Kriger2007ConservationBio"
26.6,29,"Kriger2007ConservationBio"
26.4,2139,"Kriger2007ConservationBio"
26.9,17,"Kriger2007ConservationBio"
26.5,86,"Kriger2007ConservationBio"
26.7,50,"Kriger2007ConservationBio"
26.9,162,"Kriger2007ConservationBio"
27.1,0,"Kriger2007ConservationBio"
27.1,0,"Kriger2007ConservationBio"
26.3,0,"Kriger2007ConservationBio"
26.1,24,"Kriger2007ConservationBio"
25.3,0,"Kriger2007ConservationBio"
24.7,0,"Kriger2007ConservationBio"
23.7,103,"Kriger2007ConservationBio"
22.8,7406,"Kriger2007ConservationBio"
23.3,192,"Kriger2007ConservationBio"
23.2,333,"Kriger2007ConservationBio"
22.9,391,"Kriger2007ConservationBio"
22.7,0,"Kriger2007ConservationBio"
22.1,235,"Kriger2007ConservationBio"
21.8,14,"Kriger2007ConservationBio"
21.5,507,"Kriger2007ConservationBio"
21.3,0,"Kriger2007ConservationBio"
22.1,173,"Kriger2007ConservationBio"
21.2,1854,"Kriger2007ConservationBio"
20.8,18,"Kriger2007ConservationBio"
20.3,840,"Kriger2007ConservationBio"
19.8,2207,"Kriger2007ConservationBio"
18.5,3160,"Kriger2007ConservationBio"
18.8,5035,"Kriger2007ConservationBio"
17.9,10153,"Kriger2007ConservationBio"
4,699,"Sheets2021"
12,815,"Sheets2021"
17,490,"Sheets2021"
21,252.5,"Sheets2021"
4,550,"Sheets2021"
12,71,"Sheets2021"
17,9,"Sheets2021"
21,6,"Sheets2021"
4,104.5,"Sheets2021"
12,163.5,"Sheets2021"
17,145,"Sheets2021"
21,64,"Sheets2021"
4,106.5,"Sheets2021"
12,97.5,"Sheets2021"
17,225.5,"Sheets2021"
21,175,"Sheets2021"
4,66,"Sheets2021"
12,116,"Sheets2021"
17,151,"Sheets2021"
21,142,"Sheets2021"
